"Category","Overheads"
"Salary Expense",23.93
"Interest Expense ",3.07
"Marketing Expense",6.17
"Rental Expense",19.81
"Overflow Expense - Retail",0.51
"Penalty Expense",9.25
"Depreciation Expense",13.78
"Maintenance Expense",7.5
"Shipping Expense",1.96
"Human Resource Expense",14.02
